GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000129646.15,182.8964029,-1.422856163,0.24072089,-5.910812986,3.40E-09,1.01E-07
ENSG00000130021.15,1117.328998,-1.514943311,0.154433214,-9.809698752,1.02E-22,2.61E-20
ENSG00000131781.13,55.13006653,-1.178879047,0.411062843,-2.867880342,0.004132318,0.019802616
ENSG00000133466.14,1693.750955,-2.313410686,0.131351079,-17.6124224,1.98E-69,6.57E-66
ENSG00000134109.11,1717.724037,-1.396307689,0.125691887,-11.10897233,1.13E-28,5.20E-26
ENSG00000134321.13,70.82522797,-1.188762906,0.357986005,-3.320696593,0.000897931,0.005749096
ENSG00000134996.12,218.7223754,-1.116853043,0.2213952,-5.044612719,4.54E-07,8.58E-06
ENSG00000135047.16,3456.449981,-1.150738112,0.135576335,-8.487750559,2.11E-17,2.72E-15
ENSG00000135838.13,140.6753525,-1.102068213,0.259990834,-4.238873337,2.25E-05,0.000258946
ENSG00000135842.17,283.5468992,-1.440117558,0.24979776,-5.765133993,8.16E-09,2.25E-07
ENSG00000136010.14,211.6392895,-1.314944801,0.253101118,-5.195333837,2.04E-07,4.16E-06
ENSG00000136235.17,46.39669178,-1.414136704,0.444533561,-3.181169724,0.001466817,0.00861471
ENSG00000136449.15,27.19127393,-1.406122917,0.563678195,-2.494549069,0.012611729,0.047961321
ENSG00000136643.12,1083.74033,-1.083187977,0.137145146,-7.898113853,2.83E-15,2.53E-13
ENSG00000137261.15,27.22121589,-2.443491026,0.630703871,-3.874228681,0.000106963,0.000974807
ENSG00000139132.15,91.35012443,-1.188303905,0.344729334,-3.447063501,0.000566715,0.003903223
ENSG00000139372.15,406.3239481,-1.004585697,0.175274267,-5.73150704,9.95E-09,2.69E-07
ENSG00000140463.14,450.010342,-1.013126466,0.174026514,-5.821678788,5.83E-09,1.66E-07
ENSG00000140465.14,19.46501248,-2.202871015,0.708199139,-3.110524842,0.001867552,0.010402358
ENSG00000141449.15,279.2337896,-1.179243379,0.224817636,-5.245333063,1.56E-07,3.28E-06
ENSG00000141510.18,1571.638131,-3.387220382,0.13448652,-25.18631887,5.66E-140,7.51E-136
